icd_code,icd_desc,icd_pma,icd_pmi,icd_pmn,icd_pma_desc,icd_pmi_desc,icd_pmn_desc
Q31.5,Congenital laryngomalacia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q31.8,Other congenital malformations of larynx,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q31.9,"Congenital malformation of larynx, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q32.0,Congenital tracheomalacia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q32.1,Other congenital malformations of trachea,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q32.2,Congenital bronchomalacia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q32.3,Congenital stenosis of bronchus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q32.4,Other congenital malformations of bronchus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.0,Congenital cystic lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.1,Accessory lobe of lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.2,Sequestration of lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.3,Agenesis of lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.4,Congenital bronchiectasis,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.5,Ectopic tissue in lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.6,Hypoplasia and dysplasia of lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.8,Other congenital malformations of lung,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q33.9,"Congenital malformation of lung, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q34.0,Anomaly of pleura,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q34.1,Congenital cyst of mediastinum,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q34.8,Other specified congenital malformations of respiratory system,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q34.9,"Congenital malformation of respiratory system, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q35.1,Cleft hard palate,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q35.3,Cleft soft palate,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q35.5,Cleft hard palate with cleft soft palate,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q35.7,Cleft uvula,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q35.9,"Cleft palate, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q36.0,"Cleft lip, bilateral",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q36.1,"Cleft lip, median",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q36.9,"Cleft lip, unilateral",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.0,Cleft hard palate with bilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.1,Cleft hard palate with unilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.2,Cleft soft palate with bilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.3,Cleft soft palate with unilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.4,Cleft hard and soft palate with bilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.5,Cleft hard and soft palate with unilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.8,Unspecified cleft palate with bilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q37.9,Unspecified cleft palate with unilateral cleft lip,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.0,"Congenital malformations of lips, not elsewhere classified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.1,Ankyloglossia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.2,Macroglossia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.3,Other congenital malformations of tongue,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.4,Congenital malformations of salivary glands and ducts,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.5,"Congenital malformations of palate, not elsewhere classified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.6,Other congenital malformations of mouth,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.7,Pharyngeal pouch,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q38.8,Other congenital malformations of pharynx,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.0,Atresia of oesophagus without fistula,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.1,Atresia of oesophagus with tracheo-oesophageal fistula,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.2,Congenital tracheo-oesophageal fistula without atresia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.3,Congenital stenosis and stricture of oesophagus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.4,Oesophageal web,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.5,Congenital dilatation of oesophagus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.6,Diverticulum of oesophagus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.8,Other congenital malformations of oesophagus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q39.9,"Congenital malformation of oesophagus, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.0,Congenital hypertrophic pyloric stenosis,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.1,Congenital hiatus hernia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.2,Other specified congenital malformations of stomach,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.3,"Congenital malformation of stomach, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.8,Other specified congenital malformations of upper alimentary tract,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q40.9,"Congenital malformation of upper alimentary tract, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q41.0,"Congenital absence, atresia and stenosis of duodenum",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q41.1,"Congenital absence, atresia and stenosis of jejunum",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q41.2,"Congenital absence, atresia and stenosis of ileum",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q41.8,"Congenital absence, atresia and stenosis of other specified parts of small intestine",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q41.9,"Congenital absence, atresia and stenosis of small intestine, part unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.0,"Congenital absence, atresia and stenosis of rectum with fistula",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.1,"Congenital absence, atresia and stenosis of rectum without fistula",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.2,"Congenital absence, atresia and stenosis of anus with fistula",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.3,"Congenital absence, atresia and stenosis of anus without fistula",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.8,"Congenital absence, atresia and stenosis of other parts of large intestine",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q42.9,"Congenital absence, atresia and stenosis of large intestine, part unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.0,Meckel's diverticulum,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.1,Hirschsprung's disease,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.2,Other congenital functional disorders of colon,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.3,Congenital malformations of intestinal fixation,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.4,Duplication of intestine,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.5,Ectopic anus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.6,Congenital fistula of rectum and anus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.7,Persistent cloaca,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.8,Other specified congenital malformations of intestine,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q43.9,"Congenital malformation of intestine, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.0,"Agenesis, aplasia and hypoplasia of gallbladder",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.1,Other congenital malformations of gallbladder,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.2,Atresia of bile ducts,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.3,Congenital stenosis and stricture of bile ducts,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.4,Choledochal cyst,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.5,Other congenital malformations of bile ducts,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.6,Cystic disease of liver,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q44.7,Other congenital malformations of liver,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.0,"Agenesis, aplasia and hypoplasia of pancreas",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.1,Annular pancreas,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.2,Congenital pancreatic cyst,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.3,Other congenital malformations of pancreas and pancreatic duct,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.8,Other specified congenital malformations of digestive system,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q45.9,"Congenital malformation of digestive system, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.0,Congenital absence of ovary,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.1,Developmental ovarian cyst,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.2,Congenital torsion of ovary,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.3,Other congenital malformations of ovary,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.4,Embryonic cyst of fallopian tube,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.5,Embryonic cyst of broad ligament,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q50.6,Other congenital malformations of fallopian tube and broad ligament,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.0,Agenesis and aplasia of uterus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.1,Doubling of uterus with doubling of cervix and vagina,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.2,Other doubling of uterus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.3,Bicornate uterus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.4,Unicornate uterus,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.5,Agenesis and aplasia of cervix,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.6,Embryonic cyst of cervix,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.7,Congenital fistulae between uterus and digestive and urinary tracts,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.8,Other congenital malformations of uterus and cervix,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q51.9,"Congenital malformation of uterus and cervix, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.0,Congenital absence of vagina,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.1,Doubling of vagina,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.2,Congenital rectovaginal fistula,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.3,Imperforate hymen,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.4,Other congenital malformations of vagina,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.5,Fusion of labia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.6,Congenital malformation of clitoris,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.7,Other congenital malformations of vulva,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.8,Other specified congenital malformations of female genitalia,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q52.9,"Congenital malformation of female genitalia, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q53.0,Ectopic testis,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q53.1,"Undescended testicle, unilateral",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q53.2,"Undescended testicle, bilateral",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q53.9,"Undescended testicle, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.0,"Hypospadias, balanic",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.1,"Hypospadias, penile",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.2,"Hypospadias, penoscrotal",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.3,"Hypospadias, perineal",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.4,Congenital chordee,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.8,Other hypospadias,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q54.9,"Hypospadias, unspecified",A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q55.0,Absence and aplasia of testis,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q55.1,Hypoplasia of testis and scrotum,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
Q55.2,Other congenital malformations of testis and scrotum,A1,I1,N1,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations, deformations and chromosomal abnormalities"
